País,Conta Bancária,Local,Celular,Tamanho da Família,Idade,Gênero,Relação com Chefe de Família,Estado Civil,Nível Educacional,Tipo de Trabalho
3,Não,1,2,1,31,1,1,2,1,6
3,Não,2,1,1,50,2,1,2,1,1
3,Não,2,2,3,29,2,1,2,1,2
3,Não,2,1,4,33,1,1,1,5,3
3,Não,1,1,4,28,2,3,1,5,1
3,Não,1,1,3,28,1,3,2,3,3
3,Não,1,1,3,26,2,1,4,3,2
3,Não,1,1,2,51,2,1,2,3,1
3,Não,1,2,5,16,2,5,2,1,4
3,Não,2,1,2,17,1,5,2,3,4
3,Sim,1,1,1,22,2,1,2,3,1
3,Não,2,1,3,66,2,1,3,1,3
3,Sim,2,1,6,50,1,1,1,5,8
3,Não,1,1,4,33,1,1,1,1,2
3,Não,2,1,5,30,2,2,1,3,2
3,Não,2,1,8,30,2,1,4,1,1
3,Não,2,2,1,67,2,1,3,2,2
3,Não,2,1,3,50,2,2,1,3,3
3,Sim,1,1,1,25,2,1,2,4,4
3,Não,2,1,6,25,1,1,1,2,3
3,Não,1,2,3,30,2,2,1,1,2
3,Não,2,2,1,37,1,1,4,1,2
3,Sim,1,1,1,30,2,1,1,1,1
3,Não,1,2,5,28,2,3,2,1,2
3,Sim,1,1,1,30,1,1,2,3,6
3,Não,2,1,2,59,2,1,2,5,2
3,Não,1,1,5,29,1,1,1,3,2
3,Não,2,2,4,31,2,2,1,1,3
3,Não,1,1,3,27,2,2,1,3,4
3,Sim,2,1,4,55,2,2,1,1,3
3,Não,1,1,4,34,1,1,1,1,2
3,Não,1,2,4,17,1,5,2,3,4
3,Não,1,2,3,21,2,2,1,5,2
3,Não,1,1,5,37,2,1,4,3,2
3,Não,2,2,4,42,2,2,1,1,3
3,Não,2,2,8,40,2,2,1,1,4
3,Não,2,2,4,17,1,3,2,3,4
3,Não,1,2,4,65,2,2,1,2,2
3,Não,2,1,7,18,2,3,2,3,4
3,Não,1,1,3,34,2,1,2,5,2
3,Não,2,1,4,46,1,1,1,3,3
3,Sim,1,1,1,54,1,1,2,1,2
3,Não,1,1,4,27,2,1,1,1,2
3,Não,2,1,4,21,2,3,2,1,2
3,Não,2,2,4,64,1,1,1,2,3
3,Não,2,1,3,56,2,2,1,1,4
3,Não,2,2,6,40,1,1,4,1,3
3,Não,2,1,9,18,1,5,2,3,4
3,Sim,2,1,1,42,1,1,4,3,3
3,Não,2,2,2,22,1,3,2,1,4
3,Não,2,1,8,52,2,2,1,1,2
3,Não,1,1,6,35,2,2,1,1,2
3,Não,2,1,2,64,2,1,3,1,4
3,Sim,1,1,5,42,1,1,1,3,3
3,Não,2,1,1,42,1,1,1,5,2
3,Não,1,1,2,27,1,1,1,3,8
3,Não,2,1,2,43,1,1,1,1,2
3,Sim,1,2,4,16,2,5,2,3,4
3,Sim,1,1,4,26,1,5,2,3,2
3,Não,2,2,4,19,2,2,1,1,2
3,Sim,2,1,6,49,1,1,1,4,8
3,Não,1,1,9,44,2,1,1,2,1
3,Não,1,1,1,30,2,1,2,1,1
3,Não,2,2,3,16,2,3,2,1,4
3,Não,1,1,7,50,2,2,1,5,3
3,Não,2,1,2,30,1,1,1,1,6
3,Não,1,1,5,49,2,2,1,1,1
3,Não,2,2,8,72,2,4,3,2,4
3,Não,2,1,4,18,1,3,2,3,4
3,Não,2,1,2,21,2,1,1,1,4
3,Não,2,1,9,52,1,1,1,2,3
3,Sim,2,1,4,55,1,3,1,3,3
3,Não,2,1,5,35,2,1,1,1,4
3,Não,2,1,6,38,2,2,1,1,3
3,Não,2,1,6,19,2,3,2,3,4
3,Sim,1,1,7,53,2,1,1,4,1
3,Não,1,2,2,17,1,3,2,3,4
3,Não,1,1,5,29,2,1,1,1,2
3,Sim,2,1,1,24,2,1,2,4,6
3,Não,1,1,7,63,1,2,1,5,3
3,Não,1,1,2,47,2,1,1,3,4
3,Sim,1,1,4,42,2,1,1,4,8
3,Não,2,2,3,17,1,3,2,3,2
3,Sim,2,1,4,28,1,1,1,1,2
3,Não,1,1,7,62,1,1,3,1,2
3,Não,2,1,2,52,2,1,3,1,2
3,Não,2,1,3,44,2,1,4,1,2
3,Não,1,1,6,28,2,1,1,2,1
3,Sim,1,1,4,30,2,2,1,3,1
3,Sim,1,1,4,39,1,1,1,1,2
3,Não,1,1,4,81,1,1,1,2,4
3,Sim,2,1,1,62,2,1,3,1,3
3,Não,1,1,3,78,1,1,1,1,1
3,Não,1,1,2,28,2,1,2,1,1
3,Não,1,1,4,28,1,1,1,1,8
3,Não,2,1,5,39,2,1,3,1,3
3,Não,2,1,8,42,2,2,1,2,3
3,Não,2,2,6,17,1,3,2,1,4
3,Não,2,1,6,50,1,1,1,3,3
3,Não,2,1,4,25,2,2,1,1,1
3,Sim,1,1,6,34,1,1,1,1,2
3,Não,2,1,5,33,2,2,1,1,3
3,Sim,1,1,3,26,2,2,1,3,1
3,Não,2,2,8,36,2,2,1,2,3
3,Não,2,1,4,78,2,1,3,2,3
3,Sim,2,1,5,36,2,2,1,5,8
3,Não,1,2,7,17,2,3,2,3,4
3,Não,1,1,1,20,1,1,2,4,4
3,Não,2,1,1,30,1,1,4,3,3
3,Não,2,1,1,38,1,1,1,1,2
3,Não,2,1,8,28,2,2,1,1,3
3,Não,2,2,4,50,1,1,1,1,2
3,Sim,1,1,7,40,1,1,1,1,6
3,Não,1,1,1,62,1,1,1,1,2
3,Não,2,1,4,40,2,1,1,1,3
3,Não,2,1,7,44,1,1,1,1,1
3,Não,2,1,4,25,2,2,1,1,1
3,Não,2,1,5,59,2,1,3,1,3
3,Sim,1,1,6,36,2,2,1,3,1
3,Não,2,1,7,60,1,1,1,2,3
3,Sim,2,1,3,42,1,1,1,2,6
3,Não,2,1,2,56,2,1,1,2,1
3,Não,1,2,4,37,2,2,1,1,4
3,Não,2,1,4,28,2,2,1,3,4
3,Não,2,2,9,50,2,3,2,1,3
3,Não,1,1,2,55,1,1,1,3,6
3,Não,2,1,7,65,2,1,3,1,3
3,Não,2,1,5,48,1,1,1,1,3
3,Não,1,1,2,65,2,1,3,1,4
3,Não,2,1,7,55,2,1,3,1,2
3,Não,2,1,5,31,2,2,1,3,3
3,Não,2,2,2,55,2,1,3,2,4
3,Não,1,1,6,44,1,1,1,1,2
3,Não,2,1,3,72,1,1,1,1,3
3,Não,1,2,3,18,2,3,2,3,2
3,Não,2,1,4,26,1,3,2,3,4
3,Não,2,1,1,53,1,1,4,1,2
3,Não,2,1,3,28,1,1,1,1,2
3,Não,1,1,8,34,2,1,1,4,2
3,Não,2,1,4,55,1,1,1,2,3
3,Não,1,1,2,48,1,1,1,5,2
3,Não,2,1,2,50,2,2,1,1,2
3,Sim,2,1,7,65,2,1,3,3,3
3,Sim,1,1,3,53,2,1,3,3,3
3,Não,2,1,5,45,2,1,1,2,3
3,Não,1,1,2,29,2,1,2,1,2
3,Sim,1,1,3,36,1,1,1,5,6
3,Não,2,2,9,18,2,3,2,3,4
3,Não,2,2,5,18,2,3,2,3,4
3,Sim,1,1,7,33,2,1,1,1,1
3,Não,1,1,4,25,2,2,1,1,4
3,Sim,1,1,2,30,2,1,2,5,8
3,Sim,1,1,5,48,2,2,1,3,3
3,Sim,2,1,2,80,2,1,3,2,3
3,Não,1,1,6,42,1,1,2,1,3
3,Não,2,1,5,69,2,1,1,2,1
3,Não,1,1,3,23,2,2,1,3,1
3,Não,2,1,2,67,2,1,3,1,2
3,Não,2,1,2,58,2,2,1,1,3
3,Não,2,1,6,27,1,3,2,3,3
3,Sim,2,1,1,42,1,1,2,1,3
3,Não,2,2,5,80,2,1,3,2,9
3,Não,2,1,4,26,2,5,2,3,2
3,Não,1,1,3,38,2,2,1,5,4
3,Não,1,1,1,64,1,1,1,3,2
3,Não,1,1,6,16,1,5,2,3,4
3,Não,1,2,4,49,1,1,1,3,3
3,Não,2,2,5,33,2,1,3,2,1
3,Não,1,1,4,35,2,1,4,3,1
3,Sim,1,1,1,28,1,1,1,4,6
3,Não,1,1,4,38,1,1,1,3,6
3,Não,2,1,3,29,1,1,1,2,1
3,Não,2,1,5,26,1,1,1,1,2
3,Não,2,2,1,17,1,1,2,3,4
3,Não,2,1,4,36,1,1,1,1,2
3,Sim,1,1,3,28,2,2,1,3,1
3,Não,1,2,5,22,2,4,2,3,10
3,Não,1,1,1,65,2,1,2,1,4
3,Não,1,2,1,54,1,1,2,1,3
3,Sim,2,1,4,66,1,1,1,3,3
3,Não,1,1,3,54,2,2,1,1,2
3,Não,2,2,3,70,1,1,1,2,3
3,Não,2,1,5,44,1,1,1,3,2
3,Não,1,1,7,22,1,3,2,3,2
3,Sim,2,1,3,53,1,1,1,4,3
3,Não,2,1,7,28,1,3,1,1,2
3,Não,2,1,8,42,2,1,1,1,3
3,Não,2,1,5,24,2,2,1,1,3
3,Sim,1,1,3,40,1,1,1,5,6
3,Não,2,1,4,33,1,1,1,3,1
3,Não,2,1,2,60,1,1,1,1,3
3,Não,2,1,2,40,2,5,4,1,6
3,Não,2,2,3,17,2,5,2,3,4
3,Não,2,1,7,30,2,1,4,1,1
3,Não,1,2,2,16,1,5,2,3,4
3,Não,2,2,4,19,1,3,2,2,3
3,Sim,2,1,1,54,2,1,3,3,1
3,Sim,2,1,1,33,1,1,2,4,3
3,Não,1,1,3,29,2,2,1,3,4
3,Não,2,2,6,71,1,1,1,1,3
3,Não,1,1,9,26,1,1,1,1,2
3,Não,2,2,4,23,2,2,1,1,3
3,Sim,1,1,1,27,1,1,2,4,2
3,Não,2,1,9,23,1,5,2,1,2
3,Sim,1,1,6,47,1,1,1,3,3
3,Não,2,2,7,40,2,1,1,2,3
3,Não,1,2,4,17,2,5,2,3,4
3,Não,2,1,5,42,2,2,1,1,3
3,Não,2,1,2,54,2,1,3,1,3
3,Não,2,1,2,33,1,1,1,1,4
3,Não,2,1,2,52,2,1,1,1,2
3,Não,2,1,4,57,2,1,3,2,3
3,Não,2,1,4,42,2,2,1,1,1
3,Não,2,1,1,24,2,1,2,1,6
3,Não,2,1,5,32,2,1,1,1,2
3,Não,2,1,4,55,2,1,3,1,3
3,Não,2,2,6,66,1,1,1,1,3
3,Não,1,1,5,49,1,1,1,1,1
3,Não,2,1,3,25,1,3,2,3,2
3,Não,2,1,5,34,2,2,1,3,3
3,Não,2,1,3,31,1,3,2,3,2
3,Não,2,1,7,32,2,1,1,2,3
3,Não,2,2,3,65,2,2,1,2,3
3,Não,1,1,5,30,2,2,1,1,4
3,Não,2,1,3,46,1,2,1,3,1
3,Não,1,1,1,29,1,1,2,3,2
3,Sim,1,1,3,33,2,1,1,3,4
3,Sim,1,1,2,29,2,2,1,4,1
3,Não,2,1,7,28,2,2,1,1,2
3,Sim,1,1,2,30,1,1,1,4,1
3,Não,2,1,5,43,2,2,1,2,2
3,Não,2,1,5,21,2,2,1,1,2
3,Não,2,2,6,16,1,3,2,1,5
3,Não,2,1,5,56,2,1,1,2,2
3,Sim,1,1,3,44,2,2,1,3,4
3,Não,2,1,2,57,1,1,1,1,1
3,Não,2,1,6,38,2,1,1,1,2
3,Não,1,1,1,30,2,1,1,1,4
3,Não,2,1,7,46,2,1,2,2,3
3,Não,2,1,4,29,2,1,1,1,1
3,Não,1,1,6,24,1,3,2,4,4
3,Não,1,1,3,32,1,3,2,1,2
3,Não,2,1,1,57,1,1,4,1,2
3,Não,1,1,3,69,1,1,1,1,6
3,Não,2,2,2,80,2,1,3,2,3
3,Não,1,1,5,31,2,2,1,1,4
3,Não,2,1,7,35,2,2,1,2,3
3,Não,1,1,5,52,2,2,1,2,2
3,Não,1,1,2,26,2,2,1,5,3
3,Não,1,1,3,35,1,1,1,3,3
3,Sim,2,1,4,42,2,2,1,3,8
3,Não,2,1,4,68,1,1,1,1,3
3,Não,2,2,6,55,2,2,1,1,3
3,Não,2,1,7,35,2,2,1,1,4
3,Não,1,1,6,27,2,2,1,1,1
3,Sim,2,1,1,25,1,1,1,1,3
3,Não,2,1,6,56,2,2,2,1,3
3,Não,2,2,7,30,2,2,1,1,2
3,Sim,1,1,2,23,1,5,2,4,2
3,Sim,1,1,4,40,1,1,1,4,6
3,Sim,1,1,5,32,1,1,1,3,6
3,Sim,2,1,4,45,1,1,1,5,8
3,Não,2,2,7,16,2,3,2,1,4
3,Não,2,1,6,47,1,1,3,1,2
3,Sim,1,1,4,63,1,1,1,3,1
3,Não,1,1,6,47,1,1,2,1,1
3,Sim,1,1,1,24,2,1,1,3,8
3,Sim,2,1,1,45,1,1,4,3,3
3,Não,2,1,6,41,2,2,1,2,3
3,Sim,1,1,4,22,2,1,1,2,4
3,Não,2,1,6,49,1,1,1,1,2
3,Sim,2,2,9,42,1,1,1,2,3
3,Não,1,1,2,28,2,1,2,1,1
3,Não,2,1,4,19,2,3,2,1,4
3,Não,2,1,2,57,1,1,1,3,3
3,Não,2,1,2,68,1,1,1,1,2
3,Não,1,2,7,70,2,1,3,2,5
3,Não,2,2,2,63,2,1,3,2,3
3,Sim,2,1,3,24,1,1,1,1,1
3,Não,1,2,5,48,2,2,1,1,3
3,Não,2,1,9,43,1,1,1,2,3
3,Não,2,2,6,31,2,1,1,2,3
3,Sim,1,1,3,48,1,1,1,5,8
3,Não,1,2,6,58,1,1,1,2,4
3,Não,1,1,5,44,2,2,1,5,4
3,Não,1,1,2,25,1,1,1,1,6
3,Não,2,1,8,61,1,1,1,2,3
3,Não,2,1,6,50,2,1,3,2,3
3,Não,2,2,4,52,2,1,1,2,2
3,Não,2,2,1,72,1,1,3,1,3
3,Sim,2,1,4,31,1,1,1,2,3
3,Não,2,2,2,75,2,1,3,2,4
3,Sim,1,1,3,31,1,1,1,5,8
3,Não,1,1,1,23,1,1,4,1,2
3,Não,2,1,2,72,1,1,1,2,4
3,Sim,1,1,3,46,1,1,3,4,8
3,Não,2,1,6,34,1,1,1,3,2
3,Não,2,1,6,27,2,2,1,3,3
3,Não,2,1,2,31,2,2,1,1,3
3,Sim,1,1,1,27,2,1,2,3,1
3,Não,2,1,4,24,2,1,1,1,3
3,Sim,1,1,7,45,1,1,1,3,8
3,Sim,1,1,1,29,2,1,2,4,6
3,Não,1,1,4,18,2,3,2,3,4
3,Não,2,2,7,67,2,1,3,2,3
3,Não,2,2,3,71,1,1,1,3,2
3,Sim,1,1,1,44,1,1,4,3,8
3,Sim,2,1,3,23,1,3,4,4,3
3,Não,2,1,8,55,2,1,1,3,4
3,Não,2,2,6,20,2,3,2,5,4
3,Não,1,1,9,37,2,1,1,3,2
3,Não,1,1,3,26,2,1,1,1,6
3,Não,2,1,2,17,2,3,2,3,4
3,Não,2,2,7,18,2,5,2,3,4
3,Não,2,2,1,72,2,1,3,2,3
3,Não,2,2,6,22,1,3,2,3,2
3,Não,2,1,3,28,2,1,1,5,6
3,Não,2,1,4,71,2,2,1,1,3
3,Não,2,2,3,68,1,1,1,2,3
3,Não,2,2,6,23,2,3,2,3,4
3,Não,2,1,1,72,2,1,3,3,4
3,Sim,1,1,1,23,1,1,2,5,4
3,Sim,2,1,2,43,2,2,1,4,3
3,Não,2,2,4,50,2,1,3,1,2
3,Não,1,1,3,23,2,3,2,4,4
3,Não,2,1,6,31,2,2,1,1,1
3,Não,2,1,1,42,1,1,2,3,3
3,Não,1,1,5,24,2,2,1,1,3
3,Sim,1,1,6,37,1,1,1,3,1
3,Não,2,1,1,57,1,1,2,1,1
3,Não,1,2,2,17,1,3,2,1,4
3,Não,2,1,2,52,1,1,1,1,2
3,Não,2,2,2,20,2,2,1,1,4
3,Não,1,1,5,25,2,3,4,1,1
3,Não,2,1,3,52,2,2,1,1,3
3,Não,1,2,7,18,2,3,2,3,4
3,Não,2,1,5,23,2,5,2,3,4
3,Sim,1,1,4,26,2,1,1,5,4
3,Não,2,2,1,48,1,1,1,1,2
3,Não,1,2,1,75,2,1,3,2,4
3,Não,2,1,7,37,1,1,1,2,3
3,Não,2,2,4,25,2,2,1,1,2
3,Sim,1,1,1,21,1,1,2,3,6
3,Não,2,2,2,16,1,3,2,1,4
3,Sim,1,1,1,25,2,1,2,5,5
3,Sim,1,1,1,29,1,1,1,4,1
3,Não,1,2,9,18,2,3,2,3,4
3,Não,2,1,3,40,2,2,1,2,3
3,Não,1,1,1,21,1,1,2,3,6
3,Não,1,2,3,19,1,3,2,3,4
3,Não,2,2,2,35,2,2,1,1,3
3,Sim,1,1,5,30,1,1,1,1,8
3,Não,1,1,5,73,1,1,1,1,5
3,Não,2,1,7,71,1,1,1,2,2
3,Não,2,1,3,41,1,1,1,1,3
3,Não,2,1,4,29,1,3,2,3,2
3,Não,1,1,3,22,2,6,2,4,4
3,Não,1,1,3,40,1,1,1,1,1
3,Não,1,1,1,20,1,1,2,3,2
3,Não,1,1,2,75,2,1,1,1,3
3,Sim,2,1,4,60,2,2,1,1,2
3,Sim,1,1,1,20,1,1,2,3,1
3,Não,2,1,2,38,1,5,4,1,2
3,Sim,1,1,1,26,2,1,1,5,2
3,Não,1,1,2,29,1,1,1,3,2
3,Não,2,1,2,25,2,1,1,3,4
3,Não,1,2,4,29,2,2,1,2,4
3,Não,2,1,3,66,1,1,1,2,2
3,Sim,1,1,3,29,1,1,1,3,6
3,Não,1,2,7,21,1,3,2,3,4
3,Não,2,1,1,65,2,1,3,1,10
3,Não,2,2,5,45,1,1,1,1,3
3,Não,2,1,1,70,2,1,3,2,4
3,Não,1,1,5,37,2,2,1,1,2
3,Não,2,1,3,58,1,1,1,1,4
3,Sim,1,1,2,32,2,2,1,1,2
3,Não,1,1,3,63,1,1,1,1,2
3,Não,2,2,6,70,2,2,1,2,4
3,Sim,2,1,7,54,1,1,1,1,3
3,Não,2,1,3,30,1,1,3,1,3
3,Não,1,2,2,50,2,1,1,1,2
3,Não,2,1,2,48,2,1,3,1,3
3,Não,2,1,1,28,2,1,1,1,3
3,Sim,1,1,2,24,1,1,1,1,8
3,Sim,1,1,3,25,2,2,1,3,4
3,Não,2,2,5,19,1,5,2,3,4
3,Não,2,2,8,16,1,3,2,1,4
3,Não,2,1,1,50,2,1,3,1,3
3,Não,2,2,3,18,2,2,1,1,4
3,Não,2,1,4,46,2,1,3,1,3
3,Não,2,2,4,25,2,1,1,2,3
3,Não,2,2,5,16,1,3,2,3,4
3,Sim,1,1,3,47,1,1,1,5,8
3,Sim,1,1,4,70,1,1,1,2,3
3,Não,1,1,4,70,1,1,1,5,4
3,Não,1,2,4,35,2,2,1,1,2
3,Não,1,1,5,40,2,2,1,1,3
3,Sim,1,1,4,42,1,1,1,1,1
3,Sim,1,1,1,45,1,1,1,3,8
3,Não,2,2,8,17,1,5,2,3,5
3,Não,2,1,5,30,1,1,1,2,3
3,Não,2,1,4,25,1,3,2,3,4
3,Não,2,2,5,44,2,2,1,1,2
3,Sim,1,1,3,30,1,1,1,1,1
3,Não,1,1,1,30,1,1,2,3,6
3,Não,2,2,3,20,2,1,1,1,4
3,Sim,1,1,3,33,2,1,1,5,8
3,Não,2,2,2,50,2,1,3,1,3
3,Não,1,1,1,20,1,1,2,1,2
3,Não,2,1,3,63,2,2,1,2,1
3,Não,2,1,5,72,1,1,1,1,3
3,Não,1,1,4,28,2,2,1,1,2
3,Sim,2,2,3,72,1,1,1,1,3
3,Não,2,1,5,61,2,2,1,1,2
3,Não,1,1,3,22,1,1,2,5,4
3,Não,2,2,6,40,1,1,1,1,2
3,Não,2,2,7,49,2,1,3,2,3
3,Não,2,1,4,80,1,1,1,1,3
3,Sim,1,1,6,23,1,3,2,4,4
3,Não,1,1,5,31,2,2,1,5,1
3,Não,2,1,8,28,2,3,1,2,3
3,Não,2,1,3,25,1,1,1,3,5
3,Sim,1,1,1,38,1,1,1,3,6
3,Não,1,2,4,28,2,2,1,1,4
3,Sim,1,1,3,50,2,2,1,4,8
3,Não,1,1,4,34,1,1,1,1,2
3,Sim,2,1,3,78,1,1,1,1,3
3,Não,2,2,5,30,1,1,1,1,3
3,Não,2,2,8,78,1,1,1,2,4
3,Não,2,1,6,24,1,3,2,1,2
3,Não,2,1,4,70,2,1,3,1,4
3,Sim,2,1,4,60,1,1,1,3,3
3,Não,2,1,2,45,2,2,1,3,3
3,Sim,2,1,3,70,1,1,1,1,3
3,Não,1,1,1,22,2,1,1,3,6
3,Não,1,2,5,29,2,2,1,1,4
3,Não,2,2,4,39,2,3,2,1,2
3,Não,1,2,5,19,1,3,2,3,4
3,Sim,1,1,9,34,1,1,1,5,8
3,Não,2,1,6,34,2,3,2,5,4
3,Sim,1,1,2,30,2,5,1,1,6
3,Não,1,2,5,18,2,3,2,3,4
3,Não,2,1,2,63,1,1,1,1,3
3,Não,1,1,2,30,2,2,1,4,6
3,Sim,1,1,4,39,2,2,1,1,4
3,Sim,1,1,1,53,1,1,1,1,3
3,Sim,2,1,1,73,2,1,2,1,6
3,Não,1,1,4,24,1,3,2,4,2
3,Sim,1,1,1,30,1,1,2,3,2
3,Não,1,1,6,48,1,1,1,1,2
3,Sim,1,1,2,21,2,3,2,4,4
3,Sim,1,2,3,60,2,1,3,2,3
3,Não,2,1,4,66,2,1,3,5,3
3,Não,1,2,6,16,1,3,2,1,2
3,Não,2,2,7,52,2,2,1,1,3
3,Sim,1,1,2,43,1,1,4,3,2
3,Sim,2,1,6,28,2,2,1,1,3
3,Sim,2,1,6,31,1,1,1,1,3
3,Sim,2,2,1,65,1,1,3,2,2
3,Não,2,1,9,54,1,1,1,2,3
3,Não,2,1,4,33,2,1,1,1,1
3,Sim,1,1,1,40,1,1,1,1,2
3,Não,2,1,3,20,1,1,2,3,4
3,Sim,2,1,6,23,1,3,1,3,6
3,Não,2,1,6,35,2,1,3,2,4
3,Sim,1,2,4,65,2,1,4,1,2
3,Sim,1,1,5,25,2,2,1,5,8
3,Sim,1,1,1,50,1,1,4,1,3
3,Sim,2,1,2,29,2,2,1,3,3
3,Não,2,2,8,16,2,3,2,1,4
3,Não,2,1,6,56,1,1,1,1,2
3,Não,2,1,5,74,2,1,3,1,3
3,Sim,2,1,1,60,2,1,2,4,1
3,Sim,2,1,1,34,2,1,2,5,8
3,Sim,1,1,3,28,1,1,4,3,3
3,Não,2,2,1,78,2,1,3,2,4
3,Sim,1,1,3,59,2,1,1,4,8
3,Sim,2,1,4,38,1,1,1,3,3
3,Sim,1,1,2,25,2,2,1,3,6
3,Não,2,1,6,30,1,1,1,1,2
3,Sim,1,1,1,33,1,1,1,3,1
3,Não,1,1,5,59,1,1,1,2,3
3,Não,2,1,2,29,1,1,2,1,3
3,Não,1,1,5,42,2,2,1,1,2
3,Sim,1,1,1,27,1,1,2,5,8
3,Sim,2,1,6,35,2,2,1,1,1
3,Sim,2,1,8,40,1,1,1,3,3
3,Sim,1,1,5,37,1,1,1,3,1
3,Não,2,1,1,75,2,1,3,2,4
3,Não,2,2,4,16,2,4,2,3,4
3,Não,2,1,5,23,1,3,1,3,2
3,Sim,2,1,8,40,1,1,1,1,1
3,Não,2,1,3,57,2,2,1,3,3
3,Não,2,1,7,20,1,3,2,2,3
3,Sim,2,1,4,50,1,5,4,3,3
3,Sim,1,1,1,55,2,1,3,1,1
3,Não,2,1,5,36,2,5,1,3,2
3,Não,1,1,6,41,1,1,1,3,1
3,Não,2,1,5,28,2,2,1,1,3
3,Sim,2,1,1,36,1,1,1,1,1
3,Não,2,1,4,32,2,2,1,3,3
3,Não,2,1,3,70,1,1,1,1,3
3,Não,2,1,3,60,2,1,3,1,2
3,Sim,2,1,4,32,1,1,1,1,3
3,Não,1,1,4,25,1,1,1,3,1
3,Sim,2,1,1,35,1,1,4,1,1
3,Não,2,1,5,38,2,1,2,1,2
3,Não,1,1,3,23,2,2,1,1,4
3,Não,1,1,1,41,1,1,1,1,2
3,Não,2,1,4,26,1,1,1,3,2
3,Sim,2,1,3,42,2,2,1,3,3
3,Não,2,1,2,18,2,3,2,3,4
3,Não,2,1,8,39,1,1,1,1,2
3,Sim,1,1,1,20,2,1,2,5,5
3,Sim,2,1,4,32,2,1,1,1,4
3,Não,2,2,2,24,2,1,1,3,1
3,Não,2,2,6,18,1,3,2,3,5
3,Não,2,2,8,30,2,2,1,2,3
3,Sim,2,1,1,32,1,1,1,4,6
3,Sim,1,1,2,29,1,1,1,3,6
3,Não,1,1,4,20,1,3,2,4,4
3,Não,1,1,5,39,2,2,1,3,8
3,Não,2,1,9,56,1,1,1,1,4
3,Não,2,2,4,30,2,1,1,2,3
3,Não,2,1,2,55,2,2,1,1,3
3,Não,2,1,4,55,1,1,1,1,2
3,Não,2,1,7,39,1,1,1,1,3
3,Sim,1,1,1,23,1,1,2,3,4
3,Sim,1,1,4,30,2,1,1,4,6
3,Não,2,2,6,35,1,1,1,2,3
3,Não,2,1,5,35,1,1,1,1,8
3,Não,2,1,6,23,2,2,1,1,4
3,Não,2,1,5,58,2,2,1,3,2
3,Sim,1,1,6,28,1,3,2,3,1
3,Sim,1,1,1,19,2,1,2,4,4
3,Sim,2,1,2,63,1,1,3,4,3
3,Sim,2,1,6,68,1,1,1,1,3
3,Sim,1,1,1,21,1,1,2,4,4
3,Não,2,2,7,16,2,3,2,1,4
3,Não,2,1,3,31,2,1,4,2,2
3,Não,1,1,4,42,1,1,1,1,2
3,Sim,2,2,1,75,2,1,3,1,5
3,Não,2,2,9,70,2,1,3,1,4
3,Sim,1,1,2,62,1,1,1,4,3
3,Não,1,2,2,70,1,1,1,1,4
3,Não,2,2,6,40,2,2,1,2,2
3,Não,2,1,5,47,1,1,1,1,2
3,Sim,2,1,6,42,2,1,1,3,4
3,Não,2,2,9,30,2,5,4,1,3
3,Não,2,1,7,43,1,1,1,1,3
3,Não,1,1,2,46,1,1,4,3,1
3,Não,1,1,4,39,1,1,1,3,1
